level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	3	1	32	6	1421	1708	73	31	79.873360	0,10
4	1	3	1	33	0	57	1747	1437	50	-1	
5	1	3	1	33	1	57	1768	58	27	82.378387	T
5	1	3	1	33	2	226	1792	10	5	75.188797	>
5	1	3	1	33	3	367	1747	181	48	7.162338	te
5	1	3	1	33	4	731	1755	75	29	81.028511	FUZE
5	1	3	1	33	5	829	1755	74	29	96.513771	ZERO
5	1	3	1	33	6	926	1755	93	29	96.809441	PESCA
5	1	3	1	33	7	1041	1755	34	28	87.443115	CL
5	1	3	1	33	8	1099	1756	34	27	87.443115	40
5	1	3	1	33	9	1308	1757	34	27	86.125198	*d
5	1	3	1	33	10	1422	1757	72	31	84.287155	0,74
4	1	3	1	34	0	101	1795	1394	56	-1	
5	1	3	1	34	1	101	1795	167	49	3.600769	TTYNTTS
5	1	3	1	34	2	464	1817	57	29	0.000000	=
5	1	3	1	34	3	605	1798	78	53	7.678360	__
5	1	3	1	34	4	729	1805	173	29	77.678871	SFILATINO
5	1	3	1	34	5	924	1805	132	29	96.882645	MORBIDO
5	1	3	1	34	6	1308	1810	35	24	87.802383	*a
5	1	3	1	34	7	1423	1807	72	31	79.222282	2,02
4	1	3	1	35	0	30	1844	1468	54	-1	
5	1	3	1	35	1	30	1862	117	36	62.059036	Sw
5	1	3	1	35	2	269	1852	24	5	39.944618	—
5	1	3	1	35	3	293	1844	202	47	30.096886	a
5	1	3	1	35	4	632	1845	49	51	27.568039	TS
5	1	3	1	35	5	727	1855	95	29	88.805283	ZUEGG
5	1	3	1	35	6	845	1854	191	30	96.547157	ALBICOCCHE
5	1	3	1	35	7	1309	1860	35	23	82.704872	*c
5	1	3	1	35	8	1424	1856	74	31	80.078239	2,76
4	1	3	1	36	0	40	1893	1460	54	-1	
5	1	3	1	36	1	40	1901	40	8	68.729828	—
5	1	3	1	36	2	240	1893	72	46	44.789700	a
5	1	3	1	36	3	634	1894	206	53	0.000000	MULINO
5	1	3	1	36	4	863	1906	30	29	92.442123	B.
5	1	3	1	36	5	922	1905	152	30	93.167999	NASTRINE
5	1	3	1	36	6	1310	1910	35	24	30.996750	*c
5	1	3	1	36	7	1426	1905	74	32	80.882172	2,45
4	1	3	1	37	0	31	1945	1511	55	-1	
5	1	3	1	37	1	31	1945	373	47	5.678749	WTastfStx
5	1	3	1	37	2	622	1945	55	55	0.000000	—D
5	1	3	1	37	3	708	1937	24	68	10.438980	=
