level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	6	1	35	1	152	1996	142	28	93.301201	CONIGLIO
5	1	6	1	35	2	314	2002	83	26	90.828697	META'
5	1	6	1	35	3	422	2006	82	26	86.836899	PORZ.
5	1	6	1	35	4	694	1996	32	48	47.125809	“ce
5	1	6	1	35	5	802	2016	68	28	87.380478	5,43
4	1	6	1	36	0	149	2042	720	51	-1	
5	1	6	1	36	1	149	2042	141	30	72.310715	POMOIORO
5	1	6	1	36	2	693	2066	31	21	66.684799	xa
5	1	6	1	36	3	801	2064	68	29	96.121239	2,38
4	1	6	1	37	0	147	2089	721	50	-1	
5	1	6	1	37	1	147	2089	105	29	93.135834	MELONE
5	1	6	1	37	2	274	2094	160	29	96.625488	MANTOVANO
5	1	6	1	37	3	457	2098	49	28	96.875038	IGP
5	1	6	1	37	4	692	2111	31	22	91.730560	*a
5	1	6	1	37	5	799	2110	69	29	91.331818	3,65
4	1	6	1	38	0	147	2136	719	51	-1	
5	1	6	1	38	1	147	2136	61	27	93.302765	INS.
5	1	6	1	38	2	236	2139	124	30	92.789345	LATTUGA
5	1	6	1	38	3	381	2142	123	31	96.695679	GENTILE
5	1	6	1	38	4	690	2157	31	23	89.580994	*a
5	1	6	1	38	5	797	2157	69	30	96.449654	0,82
4	1	6	1	39	0	142	2177	723	56	-1	
5	1	6	1	39	1	142	2184	86	27	93.112762	FICHI
5	1	6	1	39	2	252	2186	124	30	92.601524	D'INDIA
5	1	6	1	39	3	689	2204	31	23	43.343788	xa
5	1	6	1	39	4	798	2177	67	56	43.892284	1,88
4	1	6	1	40	0	140	2224	723	58	-1	
5	1	6	1	40	1	140	2231	106	29	93.036469	PATATE
5	1	6	1	40	2	268	2234	31	27	96.013245	AL
5	1	6	1	40	3	322	2235	88	29	96.013245	FORNO
5	1	6	1	40	4	686	2251	32	24	30.635445	x
5	1	6	1	40	5	794	2224	69	58	56.599316	2/76
4	1	6	1	41	0	137	2280	725	50	-1	
5	1	6	1	41	1	137	2280	107	27	85.339638	PATATE
5	1	6	1	41	2	266	2282	31	27	95.590263	AL
5	1	6	1	41	3	320	2283	88	29	95.590263	FORNO
5	1	6	1	41	4	685	2300	31	23	64.119156	xe
5	1	6	1	41	5	793	2300	69	30	69.503708	2,62
4	1	6	1	42	0	134	2327	727	51	-1	
5	1	6	1	42	1	134	2327	89	28	0.000000	POLL)
5	1	6	1	42	2	244	2329	125	30	92.235435	CAMPESE
5	1	6	1	42	3	390	2334	16	26	67.948273	A
5	1	6	1	42	4	427	2335	83	29	67.948273	META'
5	1	6	1	42	5	683	2348	32	23	76.165825	*c
5	1	6	1	42	6	792	2348	69	30	96.424232	5,80
4	1	6	1	43	0	132	2376	728	50	-1	
5	1	6	1	43	1	132	2376	50	27	96.811859	ALI
5	1	6	1	43	2	205	2377	89	28	93.302689	POLLO
5	1	6	1	43	3	315	2380	180	32	83.158714	PICC.FORNO
5	1	6	1	43	4	682	2396	31	24	62.750362	sc
5	1	6	1	43	5	790	2396	70	30	62.750362	2,08
4	1	6	1	44	0	128	2424	725	52	-1	
5	1	6	1	44	1	128	2424	52	27	96.683968	ALI
5	1	6	1	44	2	207	2425	27	28	90.836349	JI
5	1	6	1	44	3	257	2426	89	30	93.291931	POLLO
5	1	6	1	44	4	367	2430	143	32	92.803879	NATURAMA
5	1	6	1	44	5	680	2446	32	23	55.858761	sc
5	1	6	1	44	6	789	2445	64	31	63.209961	2,61
2	1	7	0	0	0	121	2576	770	82	-1	
